Postcode,Number of polluting facilities,Total emissions in the air (kg),Level of pollution
2217,1,2049.00545,Low
2218,0,0,No polluting facilities
2219,0,0,No polluting facilities
2220,0,0,No polluting facilities
2221,0,0,No polluting facilities
2222,0,0,No polluting facilities
2223,0,0,No polluting facilities
2224,0,0,No polluting facilities
2225,0,0,No polluting facilities
2226,0,0,No polluting facilities
2227,0,0,No polluting facilities
2228,0,0,No polluting facilities
2229,0,0,No polluting facilities
2230,0,0,No polluting facilities
2231,1,35983,Medium
2232,0,0,No polluting facilities
2233,0,0,No polluting facilities
2234,3,332612.5632,Medium
2250,8,439688.1851,Medium
2251,3,16951.12061,Medium
2256,1,40799.058,Medium
2257,0,0,No polluting facilities
2258,0,0,No polluting facilities
2259,4,37308298.92,High
2260,0,0,No polluting facilities
2261,1,6488.784207,Low
2262,2,16042.23927,Medium
2263,0,0,No polluting facilities
2264,2,49655711.48,High
2265,1,2414.567234,Low
2267,1,2.84293e-4,Low
2278,0,0,No polluting facilities
2280,0,0,No polluting facilities
2281,0,0,No polluting facilities
2282,0,0,No polluting facilities
2283,2,110688.7134,Medium
2284,1,6938.4208,Low
2285,1,7043.046,Low
2286,0,0,No polluting facilities
2287,1,19725.98488,Medium
2289,0,0,No polluting facilities
2290,1,2278.8195,Low
2291,0,0,No polluting facilities
2292,0,0,No polluting facilities
2293,0,0,No polluting facilities
2294,2,31927.8269,Medium
2295,0,0,No polluting facilities
2296,0,0,No polluting facilities
2297,1,0.005,Low
2298,0,0,No polluting facilities
2299,0,0,No polluting facilities
2300,0,0,No polluting facilities
2302,0,0,No polluting facilities
2303,0,0,No polluting facilities
2304,9,1426131.866,High
2305,0,0,No polluting facilities
2306,0,0,No polluting facilities
2307,0,0,No polluting facilities
2308,0,0,No polluting facilities
2311,0,0,No polluting facilities
2312,0,0,No polluting facilities
2314,0,0,No polluting facilities
2315,0,0,No polluting facilities
2316,0,0,No polluting facilities
2317,0,0,No polluting facilities
2318,0,0,No polluting facilities
2319,0,0,No polluting facilities
2320,5,227777.6177,Medium
2321,0,0,No polluting facilities
2322,8,11352675.66,High
2323,2,1026980.45,High
2324,3,396980.5802,Medium
2325,1,425918.195,Medium
2326,0,0,No polluting facilities
2327,1,17057.158,Medium
2328,0,0,No polluting facilities
2329,0,0,No polluting facilities
2330,14,64332903.4,High
2331,0,0,No polluting facilities
2333,7,161195612.7,High
2334,0,0,No polluting facilities
2335,0,0,No polluting facilities
2336,0,0,No polluting facilities
2337,1,6636.806698,Low
2338,0,0,No polluting facilities
2339,0,0,No polluting facilities
2340,7,254594.3067,Medium
2341,1,2135379.181,High
2342,1,62777.73753,Medium
2343,3,203686.1328,Medium
2344,0,0,No polluting facilities
2345,1,349310.969,Medium
2346,0,0,No polluting facilities
2347,0,0,No polluting facilities
2350,0,0,No polluting facilities
2351,0,0,No polluting facilities
2352,0,0,No polluting facilities
2353,0,0,No polluting facilities
2354,0,0,No polluting facilities
2355,0,0,No polluting facilities
2356,0,0,No polluting facilities
2357,0,0,No polluting facilities
2358,0,0,No polluting facilities
2359,0,0,No polluting facilities
2360,1,172431.9803,Medium
2361,0,0,No polluting facilities
2365,0,0,No polluting facilities
2369,0,0,No polluting facilities
2370,1,536284.6,High
2371,0,0,No polluting facilities
2372,0,0,No polluting facilities
2379,0,0,No polluting facilities
2380,2,873505.587,High
2381,0,0,No polluting facilities
2382,3,16326679.76,High
2386,0,0,No polluting facilities
2387,0,0,No polluting facilities
2388,0,0,No polluting facilities
2390,4,1331677.055,High
2395,0,0,No polluting facilities
2396,0,0,No polluting facilities
2397,0,0,No polluting facilities
2398,0,0,No polluting facilities
2399,0,0,No polluting facilities
2400,0,0,No polluting facilities
2401,0,0,No polluting facilities
2402,0,0,No polluting facilities
2403,1,99836.1,Medium
2404,0,0,No polluting facilities
2405,0,0,No polluting facilities
2406,0,0,No polluting facilities
2408,1,209931.019,Medium
2409,0,0,No polluting facilities
2410,0,0,No polluting facilities
2411,0,0,No polluting facilities
2415,1,1998375.52,High
2420,1,67378.37,Medium
2421,0,0,No polluting facilities
2422,1,0.147,Low
2423,0,0,No polluting facilities
2424,0,0,No polluting facilities
2425,0,0,No polluting facilities
2426,0,0,No polluting facilities
2427,0,0,No polluting facilities
2428,1,8.99e-4,Low
2429,1,601178.892,High
2430,2,38188.97612,Medium
2431,0,0,No polluting facilities
2439,0,0,No polluting facilities
2440,1,40086.96677,Medium
2441,0,0,No polluting facilities
2443,2,76534.90781,Medium
2444,0,0,No polluting facilities
2445,0,0,No polluting facilities
2446,1,21850.45,Medium
2447,2,184017.0825,Medium
2448,1,19204.946,Medium
2449,0,0,No polluting facilities
2450,3,90442.92046,Medium
2452,0,0,No polluting facilities
2453,0,0,No polluting facilities
2454,0,0,No polluting facilities
2455,0,0,No polluting facilities
2456,0,0,No polluting facilities
2460,0,0,No polluting facilities
2462,0,0,No polluting facilities
2463,0,0,No polluting facilities
2464,0,0,No polluting facilities
2465,1,656032.6463,High
2466,0,0,No polluting facilities
2469,0,0,No polluting facilities
2470,1,93369.35,Medium
2471,1,68859.21,Medium
2472,2,584117.603,High
2473,0,0,No polluting facilities
2474,1,10768.0094,Medium
2475,0,0,No polluting facilities
2476,0,0,No polluting facilities
2477,1,121400.1239,Medium
2478,2,83846.54505,Medium
2479,0,0,No polluting facilities
2480,1,5.16887e-4,Low
2481,0,0,No polluting facilities
2482,0,0,No polluting facilities
2483,0,0,No polluting facilities
2484,2,479566.68,Medium
2485,0,0,No polluting facilities
2486,0,0,No polluting facilities
2487,0,0,No polluting facilities
2488,0,0,No polluting facilities
2489,0,0,No polluting facilities
2490,0,0,No polluting facilities
2500,2,120737.354,Medium
2502,1,771.93173,Low
2505,4,13789328.04,High
2506,0,0,No polluting facilities
2508,1,92858.523,Medium
2515,0,0,No polluting facilities
2516,0,0,No polluting facilities
2517,0,0,No polluting facilities
2518,0,0,No polluting facilities
2519,0,0,No polluting facilities
2522,0,0,No polluting facilities
2525,0,0,No polluting facilities
2526,2,115829.4446,Medium
2527,1,306781.193,Medium
2528,0,0,No polluting facilities
2529,3,368691.5356,Medium
2530,1,57396.719,Medium
2533,1,15652.3,Medium
2534,0,0,No polluting facilities
2535,0,0,No polluting facilities
2536,0,0,No polluting facilities
2537,0,0,No polluting facilities
2538,0,0,No polluting facilities
2539,0,0,No polluting facilities
2540,1,21335.984,Medium
2541,1,1078394.792,High
2545,0,0,No polluting facilities
2546,0,0,No polluting facilities
2548,0,0,No polluting facilities
2549,0,0,No polluting facilities
2550,2,87348.76983,Medium
2551,0,0,No polluting facilities
